Protein_Group	Genes	AURKA_dox+_vs_AURKA_dox-_logFC	AURKA_dox+_vs_AURKA_dox-_pval	Removed?	Contaminant?
A6NDG6	PGP	1.49504576743099	0.0026093748236593	No	No
A7E2V4	ZSWIM8	2.14312878887004	0.0068608636971687	No	No
O00193	SMAP	1.47000927194555	0.0063569869376093	No	No
O00743	PPP6C	1.58338280277885	1.14820527194288e-05	No	No
O14744	PRMT5	1.20474027418276	5.5601215713324e-06	No	No
O14965	AURKA	1.83873755663678	3.10957564425898e-06	No	No
O15047	SETD1A	1.85794703373947	0.0009822888757141	No	No
O15085	ARHGEF11	2.62171653277842	0.0058505686606634	No	No
O43164	PJA2	3.54210052706031	0.0032891405125912	No	No
O43379	WDR62	1.62576656892126	3.97657511302445e-05	No	No
O43524	FOXO3	1.2575146484362	3.1910513347255e-05	No	No
O43933	PEX1	1.62425802424214	0.0005856860704388	No	No
O60784	TOM1	1.82708964217667	0.000524343808066	No	No
O75170	PPP6R2	1.64819697237321	6.24407980267383e-05	No	No
O75362	ZNF217	4.37735506372605	1.11721487373987e-05	No	No
O75427	LRCH4	2.0329519741357	0.0008392579676464	No	No
O94887	FARP2	2.28672705868524	0.001446323547645	No	No
O95299	NDUFA10	1.62761744770283	6.20595381389691e-07	No	No
P10586	PTPRF	1.47420804834282	0.005740423074006	No	No
P14921	ETS1	1.99011065797607	3.0206104167219e-07	No	No
P19838	NFKB1	1.86137163441879	0.0003784596820032	No	No
P27540	ARNT	1.10840871064876	0.0031478963931294	No	No
P29144	TPP2	1.1229080405363	0.0082212521248527	No	No
P30291	WEE1	1.81618443195726	0.007358781803689	No	No
P35556	FBN2	4.43024510399655	3.1628835038659e-07	No	No
P35869	AHR	1.16489085547946	0.0009473506253694	No	No
P42566	EPS15	1.72904268221086	7.04993053889419e-06	No	No
P50548	ERF	2.56645973687123	0.0018947548273169	No	No
Q01484	ANK2	2.44625492586774	0.0042220412387685	No	No
Q06190	PPP2R3A	1.26612219113776	0.0083569346021707	No	No
Q08117	TLE5	1.42548476299636	0.0088458252401516	No	No
Q12791	KCNMA1	0.951399407032611	0.006148125891787	No	No
Q12933	TRAF2	1.93832667639276	0.002480559578183	No	No
Q12968	NFATC3	1.37919537172674	0.0065165875881964	No	No
Q13162	PRDX4	1.13486460908366	2.88564117236933e-05	No	No
Q13415	ORC1	3.30834278034436	0.001053361324796	No	No
Q13459	MYO9B	1.44480456124483	2.67222672826179e-05	No	No
Q13615	MTMR3	1.51660498340113	0.0013358539018093	No	No
Q14393	GAS6	2.13147957215165	2.5122927008485e-05	No	No
Q14934	NFATC4	3.14685499266772	3.3306791937030794e-11	No	No
Q14C86	GAPVD1	1.41503236026281	0.0034093747780818	No	No
Q15072	ZNF146	2.18580351436483	0.0007407869796565	No	No
Q16543	CDC37	1.47922879526192	7.67642792592144e-07	No	No
Q2M2I8	AAK1	1.54387061574308	1.6671668910804e-05	No	No
Q2T9J0	TYSND1	2.27866471230365	6.7418148662537e-06	No	No
Q5H9R7	PPP6R3	1.6644795328456	2.38097156611792e-06	No	No
Q5VUB5	FAM171A1	2.43329963478219	3.41382501860812e-07	No	No
Q5VUJ6	LRCH2	1.36366894331617	3.0127336194125e-05	No	No
Q5W0B1	OBI1	1.04680087808666	6.35456407009413e-05	No	No
Q643R3	LPCAT4	1.61979745749272	0.0003258709335888	No	No
Q69YL0	NCBP2AS2	1.23145689794485	0.0018008466607313	No	No
Q6IQ49	SDE2	2.87211527109673	0.0030148427635673	No	No
Q6P444	MTFR2	2.59293227938413	0.0066526740231092	No	No
Q6PJP8	DCLRE1A	2.29408645649873	0.003634886312441	No	No
Q6ULP2	AFTPH	3.06088898645805	2.73113723358354e-07	No	No
Q6XZF7	DNMBP	1.07992181593624	0.000976003095457	No	No
Q6ZSR9	gene	1.29004238064041	0.0045844585072902	No	No
Q6ZW49	PAXIP1	3.34717822334811	0.001112685910429	No	No
Q70CQ4	USP31	1.87803898989619	0.0080202471016917	No	No
Q7L3T8	PARS2	1.76004674550876	0.0012733870940423	No	No
