Protein_Group	Genes	mCDK6_500A_vs_AR-B_hCDK6_logFC	mCDK6_500A_vs_AR-B_hCDK6_pval	Removed?	Contaminant?
O15160	POLR1C	3.83009635099194	0.0001770933940535	No	No
O43795	MYO1B	4.04727104367648	3.85722686618334e-06	No	No
O94919	ENDOD1	3.45053663489087	4.74561861845997e-06	No	No
O95340	PAPSS2	3.5597436627515	1.77691520976145e-08	No	No
O95816	BAG2	3.37153186421161	1.96439234695877e-13	No	No
P01889	HLA-B	3.75399422097016	9.58701479244006e-17	No	No
P02461	COL3A1	4.64682083994116	9.332292122711221e-14	No	No
P06400	RB1	3.86013098299805	5.39616554437775e-06	No	No
P08185	SERPINA6	7.21492741875073	1.63560727131296e-11	No	No
P0DP57	SLURP2	3.76954606512663	7.72534589744732e-19	No	No
P12883;P13533	MYH6;MYH7	3.70923818233531	5.08582204090999e-07	No	No
P17302	GJA1	4.72406968671942	9.59396048483779e-23	No	No
P20248	CCNA2	5.2451654301458	3.91591357077002e-16	No	No
P24385	CCND1	11.4460534107106	3.18365702004533e-39	No	No
P24941	CDK2	4.46118321664181	3.48821752657459e-07	No	No
P27986	PIK3R1	4.1774059613318	4.74829675158108e-20	No	No
P28749	RBL1	3.22790302736272	3.42863814697922e-12	No	No
P29728	OAS2	7.34768375192072	8.60343284693129e-20	No	No
P30281	CCND3	15.0793113261915	6.490259589830261e-35	No	No
P30536	TSPO	3.83526520417698	5.99849797078525e-20	No	No
P33908	MAN1A1	3.45139877028656	6.234123975272261e-09	No	No
P35568	IRS1	5.86935875040653	2.46739442580548e-05	No	No
P38432	COIL	3.37360652990365	1.30824818828465e-05	No	No
P38936	CDKN1A	7.52360616543038	8.72851421033769e-22	No	No
P42772	CDKN2B	15.5133547411061	6.05022215342165e-34	No	No
P42773	CDKN2C	12.3271317900977	1.38427605143762e-33	No	No
P46527	CDKN1B	12.4114783858608	1.76071493462035e-36	No	No
P49918	CDKN1C	11.3864532970826	1.10548089129986e-29	No	No
P53814	SMTN	3.45998660482992	1.74869074588357e-07	No	No
P54868	HMGCS2	7.26458229394273	1.82370894658563e-22	No	No
P55273	CDKN2D	13.1827533904931	5.09824950202064e-35	No	No
P61326;Q96A72	MAGOH;MAGOHB	3.79526589023822	0.0039763764529013	No	No
Q00534	CDK6	11.0898241090832	8.270323666002209e-30	No	No
Q08999	RBL2	11.4017811303975	3.30585008629201e-36	No	No
Q10589	BST2	4.96589727505221	3.99404111301632e-13	No	No
Q13443	ADAM9	3.68457227363141	4.58774971081207e-06	No	No
Q13796	SHROOM2	5.23360395529201	0.0003164044269398	No	No
Q14669	TRIP12	3.90077648101099	1.188308294372e-07	No	No
Q14764	MVP	3.34277232868766	0.0001003084882346	No	No
Q15329	E2F5	6.43638996659609	1.1336107526917601e-19	No	No
Q16543	CDC37	4.01347930364536	1.553718394404e-23	No	No
Q16643	DBN1	7.95002308758196	0.001027865686486	No	No
Q2TB10	ZNF800	3.94675761102078	9.30539161351373e-05	No	No
Q5T160	RARS2	5.83314755718938	0.0010747879009039	No	No
Q7Z406	MYH14	3.94793121547028	2.498282280064e-07	No	No
Q86V21	AACS	5.2280013259352	6.86689780446257e-14	No	No
Q8IVT2	MISP	3.42636137324419	6.567175121910479e-11	No	No
Q8IVW4	CDKL3	6.00713248231773	2.32868098650592e-21	No	No
Q8N283	ANKRD35	3.96279559382826	8.90583571222175e-08	No	No
Q8N7H5	PAF1	3.87740119085751	1.41266338689586e-06	No	No
Q8NCG7	DAGLB	4.49970564769959	9.14947523418455e-24	No	No
Q8NCN4	RNF169	4.16008879950951	9.54451618835546e-14	No	No
Q8NE86	MCU	3.40328516897127	1.39106901999449e-05	No	No
Q8NI77	KIF18A	4.93053684288741	1.8112147055369497e-11	No	No
Q8TE77	SSH3	3.19524899825883	0.0004829199583572	No	No
Q8WW59	SPRYD4	3.55235835666214	5.55417218321497e-12	No	No
Q8WYP5	AHCTF1	4.00593548082456	8.01995836526616e-06	No	No
Q92870	APBB2	3.67193623476163	1.24684370733434e-08	No	No
Q96B96	TMEM159	6.87598130536518	3.23334645485901e-10	No	No
Q96BK5	PINX1	3.40204927299914	0.0002951682981587	No	No
Q96FS4	SIPA1	4.24059195088595	4.28631817751013e-12	No	No
Q9BQA1	WDR77	7.09798146661289	0.0009197353773554	No	No
Q9BYX7	POTEKP	5.87499480671929	1.52819629528674e-16	No	No
Q9H3F6	KCTD10	9.40005809163026	0.0003639520554128	No	No
Q9NRZ9	HELLS	5.69480844346749	0.0070443648750716	No	No
Q9P273	TENM3	3.3089553519994	3.00389794884823e-05	No	No
Q9UEW8	STK39	5.87883609585715	7.04372734890702e-21	No	No
Q9UIF9	BAZ2A	3.29319304856652	1.48328823813428e-06	No	No
Q9UJH8	METRN	3.47596557662137	9.395103232215919e-11	No	No
Q9UKV5	AMFR	5.48963014380927	0.0094147014379384	No	No
Q9ULD2	MTUS1	5.06218008521577	4.12600043856436e-08	No	No
Q9Y2J4	AMOTL2	4.62420910668695	2.03294007558213e-14	No	No
Q9Y6M1	IGF2BP2	3.32962980909695	5.32205243627108e-08	No	No
