Protein_Group	Genes	mCDK6_500P_vs_mCDK6_logFC	mCDK6_500P_vs_mCDK6_pval	Removed?	Contaminant?
O95340	PAPSS2	5.71237887302933	2.5306216752700796e-11	No	No
P02461	COL3A1	5.05717619356498	4.07251451827052e-13	No	No
P08185	SERPINA6	2.58217199061065	0.0008353089585592	No	No
P0DP57	SLURP2	4.12309082925533	3.80376377023567e-18	No	No
P12883;P13533	MYH6;MYH7	4.06209815767924	2.43843585772785e-07	No	No
P27986	PIK3R1	4.49546858694881	2.6809995435881003e-16	No	No
P29728	OAS2	2.70346209223845	9.902774208796901e-10	No	No
P30536	TSPO	4.1787128093869	2.2986383286046803e-15	No	No
P33908	MAN1A1	5.4014241971649	6.47140326532154e-12	No	No
P35568	IRS1	5.26889823066083	7.52856537321981e-05	No	No
P53814	SMTN	2.63883443871442	2.78320438540256e-05	No	No
P54868	HMGCS2	3.02698861267667	1.61138337994847e-10	No	No
Q14669	TRIP12	2.79215001216803	0.0002776701809213	No	No
Q14764	MVP	5.35010505897275	4.90967280036578e-08	No	No
Q86V21	AACS	5.63492692167896	3.73423666415192e-13	No	No
Q8N283	ANKRD35	4.28314022296895	1.58540539364077e-08	No	No
Q96B96	TMEM159	7.12258132660435	7.017366634752639e-11	No	No
Q9BYX7	POTEKP	6.15796952573401	1.62814879999393e-18	No	No
Q9UEW8	STK39	6.23144722644843	1.9700925475199602e-19	No	No
Q9UJH8	METRN	2.54863003516257	1.23348296973156e-08	No	No
Q9Y6M1	IGF2BP2	3.68561841036783	1.58340785211028e-08	No	No
O14639	ABLIM1	-3.02682764283203	8.20420429512992e-05	No	No
O75381	PEX14	-3.66628934854043	1.9652187669449e-15	No	No
P52732	KIF11	-2.62907820919033	0.0047462786331814	No	No
Q12788	TBL3	-2.61384434343198	0.0031052557335771	No	No
Q32P44	EML3	-3.86284289737119	2.18703378643085e-06	No	No
Q5T5P2	KIAA1217	-6.06944798738341	7.15946561823298e-11	No	No
Q92616	GCN1	-2.89791698745379	4.50101553336794e-12	No	No
Q9P273	TENM3	-2.86268452723104	0.0001457065208449	No	No
