Protein_Group	Genes	8h_vs_0h_logFC	8h_vs_0h_pval	Removed?	Contaminant?
O14682	ENC1	0.546265220563885	0.0005718272270859	No	No
O14904	WNT9A	0.609769056175317	0.0049448960288428	No	No
O15072	ADAMTS3	0.489648358224393	0.0035997458176183	No	No
O15240	VGF	0.460347076523188	0.0022390275700334	No	No
O43716	GATC	0.577066414091647	7.91367289908585e-05	No	No
O60613	SELENOF	0.586319825653849	2.68527603726909e-06	No	No
O60936	NOL3	0.583045455982091	6.25998824987475e-05	No	No
O75293	GADD45B	0.505467930392154	6.80059512333111e-05	No	No
O95857	TSPAN13	0.593419437941016	0.0001906106557514	No	No
O95965	ITGBL1	0.616394749737278	0.0011424271307026	No	No
P01127	PDGFB	0.475229976970997	0.005433855134747	No	No
P04233	CD74	2.40501519604989	0.0031285719006124	No	No
P04279	SEMG1	0.69533629197625	0.0024787765883382	No	No
P0DMQ5	INAFM2	0.467566099925811	0.0014720298680665	No	No
P0DP23;P0DP24;P0DP25	CALM1;CALM2;CALM3	0.480159252822379	0.001086334678465	No	No
P11532	DMD	0.580020971202163	3.49741495987536e-05	No	No
P20742	PZP	0.472144064795049	9.63977362637301e-05	No	No
P28799	GRN	0.476097771282213	0.0003617488599833	No	No
P49918	CDKN1C	0.597318239152035	7.31927030199925e-06	No	No
P55851	UCP2	0.504877078380002	0.0091208027961283	No	No
P60002	ELOF1	0.514630559002555	0.005991421938471	No	No
P60033	CD81	0.50881077583751	0.0002267507749845	No	No
P62633	CNBP	0.744941191235135	0.0001220101889752	No	No
P80303	NUCB2	0.551742104950037	0.000461977835296	No	No
Q02818	NUCB1	0.49176279566381	0.0004312382836155	No	No
Q14050	COL9A3	0.503547665664684	0.0006432688097415	No	No
Q14469	HES1	0.80245881351934	2.1214375467019e-11	No	No
Q15287	RNPS1	0.470248637889974	0.0062187598219214	No	No
Q16626	MEA1	0.465986953419709	0.0065327488301052	No	No
Q504U0	C4orf46	0.515824471090106	0.0066778523162189	No	No
